Note: [none]
Total # of Iterations:	8000	
Sample size:	198	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
117.3715	2	-230.6814	-230.743	197.9833	-4.391718e-08	
Model:	
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
PotGrowth	0.3314927	0.3129733	0.3481778	N/A	0.1	1	0.03799629	
sd	0.1335911	0.1215759	0.1474041	N/A	1e-04	10	0.03170298	

Non-varying parameters:
Label	Value
mean	predicted	
x	RG	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[not calculated]

Source data
ID_plot	ID_pine	Altitude	eq_DBH	y_2011	y_2012	y_2013	y_2014	y_2015	y_2016	RG	predicted	
2	219	801.8119	0.996755	0.108	0.125	0.249	0.33	0.381	0.342	0.2854	0.3314927	
2	220	804.0235	0.9348695	0.125	0.136	0.187	0.205	0.273	0.258	0.2118	0.3314927	
3	301	856.1406	1.05864	0.085	0.103	0.237	0.392	0.527	0.614	0.3746	0.3314927	
3	302	855.9636	0.3779	0.035	0.027	0.07	0.196	0.209	0.227	0.1458	0.3314927	
3	303	858.5897	1.409325	0.105	0.138	0.311	0.343	0.382	0.382	0.3112	0.3314927	
3	304	857.9744	1.574353	0.154	0.1	0.333	0.481	0.252	0.51	0.3352	0.3314927	
3	305	857.5227	0.666699	0.119	0.109	0.196	0.187	0.207	0.229	0.1856	0.3314927	
3	306	857.4776	1.326811	0.182	0.119	0.277	0.224	0.216	0.297	0.2266	0.3314927	
3	307	861.3592	1.656867	0.214	0.207	0.499	0.447	0.371	0.514	0.4076	0.3314927	
3	308	859.1634	1.491839	0.096	0.084	0.193	0.19	0.397	0.474	0.2676	0.3314927	
3	309	860.4317	2.358236	0.292	0.256	0.566	0.68	0.571	0.551	0.5248	0.3314927	
3	310	858.3707	0.914241	0.093	0.108	0.129	0.168	0.19	0.249	0.1688	0.3314927	
3	311	860.4555	1.533096	0.148	0.131	0.253	0.268	0.22	0.247	0.2238	0.3314927	
3	312	860.762	1.945666	0.156	0.207	0.476	0.506	0.503	0.701	0.4786	0.3314927	
3	313	862.0488	0.749213	0.059	0.089	0.138	0.147	0.225	0.308	0.1814	0.3314927	
3	314	862.4769	1.182411	0.132	0.089	0.154	0.197	0.273	0.373	0.2172	0.3314927	
3	315	863.074	1.574353	0.088	0.239	0.326	0.548	0.543	0.581	0.4474	0.3314927	
3	316	863.2405	1.986923	0.308	0.213	0.336	0.354	0.413	0.376	0.3384	0.3314927	
3	317	864.419	1.120526	0.11	0.098	0.221	0.304	0.464	0.5	0.3174	0.3314927	
3	318	865.4045	1.120526	0.073	0.067	0.23	0.375	0.492	0.725	0.3778	0.3314927	
3	319	866.3912	1.347439	0.251	0.234	0.328	0.209	0.271	0.45	0.2984	0.3314927	
3	320	866.3426	0.955498	0.093	0.081	0.181	0.257	0.346	0.523	0.2776	0.3314927	
4	401	853.1707	2.02818	0.479	0.087	0.546	0.646	0.598	0.521	0.4796	0.3314927	
4	402	854.8749	1.986923	0.106	0.137	0.198	0.294	0.527	0.422	0.3156	0.3314927	
4	403	823.8805	1.574353	0.201	0.202	0.271	0.293	0.38	0.336	0.2964	0.3314927	
4	404	824.9559	0.872984	0.139	0.139	0.171	0.25	0.274	0.186	0.204	0.3314927	
4	405	821.2872	1.450582	0.172	0.111	0.243	0.404	0.34	0.467	0.313	0.3314927	
4	406	820.6119	0.872984	0.245	0.174	0.221	0.211	0.187	0.183	0.1952	0.3314927	
4	407	819.6079	0.666699	0.146	0.048	0.102	0.129	0.191	0.227	0.1394	0.3314927	
4	408	818.0436	0.872984	0.097	0.133	0.134	0.109	0.164	0.244	0.1568	0.3314927	
4	409	822.8421	0.831727	0.162	0.123	0.178	0.17	0.175	0.252	0.1796	0.3314927	
4	410	821.4555	0.872984	0.16	0.123	0.162	0.088	0.185	0.228	0.1572	0.3314927	
4	411	835.4671	1.285554	0.101	0.165	0.332	0.254	0.24	0.307	0.2596	0.3314927	
4	412	827.8229	0.666699	0.122	0.112	0.146	0.127	0.086	0.091	0.1124	0.3314927	
4	413	820.8207	0.707956	0.143	0.125	0.194	0.123	0.059	0.129	0.126	0.3314927	
4	414	811.1763	0.996755	0.09	0.101	0.218	0.29	0.336	0.404	0.2698	0.3314927	
4	415	811.7232	0.914241	0.104	0.13	0.156	0.3	0.381	0.464	0.2862	0.3314927	
4	416	817.4086	1.533096	0.198	0.284	0.208	0.212	0.386	0.326	0.2832	0.3314927	
4	417	818.3475	2.399493	0.517	0.589	0.516	0.801	0.741	0.694	0.6682	0.3314927	
4	418	815.6339	1.986923	0.152	0.132	0.171	0.215	0.43	0.488	0.2872	0.3314927	
4	419	814.384	1.491839	0.172	0.142	0.186	0.117	0.189	0.31	0.1888	0.3314927	
4	420	815.9879	0.666699	0.127	0.133	0.229	0.158	0.251	0.357	0.2256	0.3314927	
4	421	814.1885	1.491839	0.219	0.255	0.407	0.374	0.455	0.577	0.4136	0.3314927	
4	422	816.9893	2.110694	0.28	0.414	0.369	0.49	0.566	0.269	0.4216	0.3314927	
4	423	816.7595	1.285554	0.141	0.135	0.264	0.201	0.272	0.444	0.2632	0.3314927	
4	424	817.2672	1.698124	0.142	0.186	0.249	0.456	0.489	0.485	0.373	0.3314927	
5	501	670.8981	2.44075	0.283	0.273	0.498	0.763	0.566	0.589	0.5378	0.3314927	
5	502	670.0975	1.409325	0.187	0.173	0.355	0.464	0.538	0.434	0.3928	0.3314927	
5	503	737.9761	1.533096	0.204	0.203	0.365	0.397	0.55	0.526	0.4082	0.3314927	
5	504	735.5055	2.44075	0.223	0.144	0.243	0.407	0.444	0.641	0.3758	0.3314927	
5	505	737.186	0.79047	0.119	0.081	0.162	0.27	0.512	0.491	0.3032	0.3314927	
5	506	743.209	0.955498	0.091	0.113	0.188	0.189	0.322	0.301	0.2226	0.3314927	
5	507	736.5941	2.151951	0.286	0.293	0.455	0.795	0.908	0.824	0.655	0.3314927	
5	508	736.7923	1.61561	0.095	0.127	0.238	0.612	0.658	0.729	0.4728	0.3314927	
5	509	735.5795	1.821895	0.233	0.309	0.376	0.702	0.852	0.479	0.5436	0.3314927	
5	510	732.4015	1.20304	0.088	0.063	0.151	0.31	0.428	0.483	0.287	0.3314927	
5	511	734.1473	0.831727	0.064	0.069	0.082	0.206	0.327	0.253	0.1874	0.3314927	
5	512	732.1841	1.20304	0.067	0.121	0.249	0.286	0.547	0.54	0.3486	0.3314927	
5	513	733.0904	1.244297	0.144	0.144	0.29	0.331	0.425	0.409	0.3198	0.3314927	
5	514	733.9712	0.872984	0.132	0.068	0.136	0.26	0.303	0.436	0.2406	0.3314927	
5	515	733.0376	0.79047	0.123	0.123	0.296	0.205	0.279	0.313	0.2432	0.3314927	
