Note: [none]
Total # of Iterations:	25000	
Sample size:	199	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
104.411	4	-200.6157	-200.8219	1.000522	0.2629333	
Model:	
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
PotGrowth	0.6081462	0.5817389	0.6377389	N/A	0.1	1	0.06845589	
sizeX0	9.999754	9.099778	10	N/A	1	10	9	
sizeXb	1.733748	1.635048	1.85511	N/A	0.5	2	0.2645503	
sd	0.1429846	0.130124	0.1587558	N/A	1e-04	10	0.02349963	

Non-varying parameters:
Label	Value
mean	predicted	
x	DG	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[not calculated]

Source data
ID_plot	ID_pine	N_pine	X_UTM	Y_UTM	Age	DG	D	prec	temp	predicted	
5	504	4	383705	4628664	15	0.4973333	4.508	552.1207	13.76742	0.5472096	
5	505	5	383709	4628659	12	0.4243333	0.727	552.1169	13.76748	0.1939064	
5	506	6	383710	4628622	15	0.2706667	1.588	552.5876	13.73662	0.3462636	
5	507	7	383699	4628641	14	0.8423333	2.773	552.355	13.7519	0.4625531	
5	508	8	383692	4628647	16	0.6663333	2.001	552.7724	13.726	0.3953714	
5	509	9	383700	4628658	15	0.6776667	2.467	552.1185	13.76736	0.4390414	
5	510	10	383693	4628670	13	0.407	1.779	552.5383	13.74144	0.3703993	
5	511	11	383693	4628673	12	0.262	1.314	552.5401	13.74144	0.3065223	
5	512	12	383682	4628667	13	0.4576667	1.627	552.5392	13.74129	0.3514105	
5	513	13	383682	4628676	14	0.3883333	1.935	552.5446	13.74128	0.3882643	
5	514	14	383670	4628672	15	0.333	1.201	552.5451	13.74112	0.2880785	
5	515	15	383661	4628667	14	0.2656667	1.203	553.1246	13.70488	0.2884165	
5	516	16	383686	4628662	12	0.454	0.238	552.5352	13.74136	0.05950982	
5	517	17	383674	4628661	9	0.241	1.777	552.5376	13.74119	0.37016	
5	518	18	383669	4628640	15	0.7506667	3.048	552.7739	13.72569	0.480882	
5	519	19	383687	4628645	15	0.44	4.08	552.7724	13.72593	0.5320493	
5	520	20	383708	4628639	12	0.2013333	0.596	552.3516	13.75203	0.1619905	
6	601	1	379680	4629955	13	0.3633333	2.11	549.2673	13.96862	0.4065667	
6	602	2	379671	4629957	13	0.419	1.743	549.0814	13.97911	0.3660499	
6	603	3	379669	4629947	11	0.2186667	1.444	549.6437	13.94737	0.3261986	
6	604	4	379674	4629935	14	0.2526667	2.042	549.6394	13.94743	0.3996598	
6	605	5	379679	4629932	16	0.9673333	2.898	549.732	13.94219	0.4711856	
6	606	6	379648	4629941	13	0.3693333	1.592	549.6457	13.94716	0.346797	
6	607	7	379645	4629943	14	0.3573333	2.828	549.364	13.96299	0.4664159	
6	608	8	379633	4629934	14	0.3156667	1.453	549.3636	13.96287	0.3275039	
6	609	9	379626	4629923	14	0.5426667	1.972	549.3618	13.96281	0.3922801	
6	610	10	379694	4629908	14	0.26	1.42	549.9109	13.9318	0.3226828	
6	611	11	379667	4629925	15	0.198	1.606	549.6378	13.94737	0.3486537	
6	612	12	379713	4629880	14	0.36	2.62	550.4658	13.90031	0.4512438	
6	613	13	379744	4629853	12	0.623	2.931	550.9244	13.87425	0.4733789	
6	614	14	379693	4629890	12	0.6216667	3.135	549.9057	13.93181	0.486197	
6	615	15	379658	4629827	13	0.3673333	2.298	550.4595	13.89981	0.4244163	
7	701	1	384615	4634254	15	0.221	2.537	550.3732	14.29629	0.4447405	
7	702	2	384623	4634257	12	0.158	2.526	550.4017	14.29639	0.4438582	
7	703	3	384626	4634259	14	0.392	2.824	550.4167	14.29644	0.4661385	
7	704	4	384633	4634267	13	0.3803333	4.459	550.5655	14.2912	0.5456159	
7	705	5	384638	4634255	11	0.2283333	1.315	550.515	14.2912	0.3066797	
7	706	6	384650	4634251	14	0.2353333	1.994	550.516	14.29131	0.3946297	
7	707	7	384603	4634246	14	0.4143333	4.057	550.3137	14.29613	0.5311502	
7	708	8	384596	4634241	12	0.328	1.916	550.1804	14.30138	0.3861702	
7	709	9	384583	4634271	14	0.235	1.395	550.2065	14.30673	0.3189655	
7	710	10	384598	4634271	14	0.2616667	2.015	549.9417	14.32294	0.3968464	
7	711	11	384595	4634269	11	0.3366667	1.29	550.2176	14.30685	0.3027139	
7	712	12	384590	4634273	15	0.3346667	2.696	550.2285	14.30681	0.4569679	
7	713	13	384589	4634276	15	0.1766667	2.17	550.2415	14.30682	0.4124565	
7	714	14	384570	4634258	16	0.3433333	4.17	550.2177	14.30117	0.5354804	
7	715	15	384551	4634278	11	0.3483333	1.955	550.282	14.30106	0.3904451	
7	716	16	384548	4634278	16	0.416	3.352	550.2767	14.30103	0.4985458	
7	717	17	384539	4634292	15	0.4073333	3.278	550.3296	14.301	0.4944743	
7	718	18	384524	4634301	16	0.1916667	1.725	550.4449	14.29552	0.3638417	
7	719	19	384510	4634311	9	0.353	1.541	550.4696	14.29541	0.3399024	
7	720	20	384505	4634312	14	0.308	2.076	550.7589	14.2793	0.4031447	
7	721	21	384481	4634312	14	0.4553333	2.534	550.7161	14.27903	0.4445003	
7	722	22	384492	4634331	15	0.499	3.103	550.2443	14.31138	0.4842674	
7	723	23	384497	4634326	15	0.24	1.98	550.8146	14.27927	0.3931377	
7	724	24	384473	4634337	6	0.3246667	3.326	550.2399	14.31121	0.4971312	
8	801	1	382412	4630514	15	0.3363333	2.691	545.5791	14.20335	0.4565979	
8	802	2	382410	4630510	12	0.3886667	1.434	545.5788	14.20332	0.3247399	
8	803	3	382421	4630507	17	0.4296667	1.811	545.578	14.20344	0.3741919	
8	804	4	382415	4630505	15	0.31	1.57	545.5781	14.20337	0.3438482	
8	805	5	382412	4630495	14	0.291	1.527	545.5773	14.20333	0.3379732	
8	806	6	382428	4630491	15	0.382	1.454	545.5762	14.2035	0.3276485	
8	807	7	382444	4630496	12	0.3313333	1.606	546.0068	14.17741	0.3486537	
8	808	8	382450	4630502	12	0.2513333	1.446	546.0072	14.17749	0.3264893	
8	809	9	382466	4630506	15	0.5353333	1.694	546.0068	14.17767	0.3599849	
8	810	10	382470	4630509	14	0.484	3.248	546.2664	14.16196	0.4927834	
8	811	11	382467	4630514	16	0.3523333	3.843	546.0077	14.17769	0.5223265	
8	812	12	382425	4630474	14	0.391	2.127	546.0917	14.17193	0.4082546	
8	813	13	382412	4630464	14	0.332	1.904	546.0912	14.17178	0.3848363	
8	814	14	382409	4630457	16	0.5426667	4.572	546.5235	14.14548	0.5492399	
8	815	15	382406	4630461	16	0.39	1.03	545.8324	14.18746	0.2574976	
8	816	16	382397	4630459	12	0.1853333	0.844	545.8326	14.18736	0.2200401	
8	817	17	382391	4630454	12	0.1843333	1.147	546.3508	14.15578	0.2787858	
8	818	18	382461	4630463	10	0.2783333	1.765	546.4341	14.15132	0.3687184	
8	819	19	382439	4630477	15	0.5653333	1.904	546.4375	14.15108	0.3848363	
8	820	20	382464	4630508	12	0.596	1.912	546.0071	14.17765	0.3857265	
8	821	21	382456	4630518	14	0.709	1.973	545.4916	14.20909	0.3923875	
8	822	22	382453	4630521	15	0.5743333	3.777	545.492	14.20906	0.5194298	
8	823	23	382445	4630546	14	0.616	3.052	545.4945	14.209	0.4811312	
8	824	24	382465	4630535	12	0.3096667	1.471	545.4928	14.2092	0.3300934	
8	825	25	382468	4630531	12	0.315	2.955	545.8368	14.18822	0.4749524	
8	826	26	382475	4630530	11	0.3146667	1.056	545.8364	14.1883	0.2623707	
8	827	27	382482	4630525	16	0.267	1.799	545.8355	14.18837	0.3727777	
8	828	28	382491	4630521	13	0.408	1.576	545.8346	14.18846	0.3446562	
8	829	29	382494	4630521	17	0.4006667	2.598	545.8345	14.1885	0.4495461	
8	830	30	382495	4630541	15	0.426	1.722	545.8366	14.18853	0.3634714	
9	901	1	381660	4640788	10	0.2803333	1.359	607.5216	13.88532	0.3135118	
9	902	2	381667	4640773	8	0.282	0.954	607.6202	13.8796	0.2427595	
9	903	3	381669	4640773	8	0.448	1.956	607.6198	13.87962	0.3905535	
9	904	4	381669	4640759	9	0.48	2.86	607.5681	13.87951	0.4686164	
9	905	5	381664	4640760	9	0.1976667	0.807	607.5728	13.87946	0.2120042	
9	906	6	381658	4640762	9	0.3036667	1.189	607.5815	13.8794	0.2860412	
9	907	7	381649	4640764	11	0.4096667	1.971	607.2814	13.89068	0.3921726	
9	908	8	381682	4640690	11	0.3313333	2.106	608.2302	13.84501	0.4061674	
9	909	9	381711	4640700	6	0.704	1.788	608.2639	13.84545	0.3714729	
9	910	10	381709	4640700	10	0.5456667	2.163	608.2643	13.84542	0.4117789	
9	911	11	381663	4640750	7	0.2283333	0.915	607.5358	13.87936	0.2348987	
9	912	12	381643	4640751	8	0.1686667	0.894	607.2344	13.8905	0.2305788	
9	913	13	381639	4640731	7	0.3203333	1.139	607.6237	13.87323	0.2773814	
9	914	14	381604	4640794	10	0.3916667	3.025	606.7821	13.91313	0.4794399	
9	915	15	381608	4640796	6	0.377	1.669	606.7884	13.91319	0.3568243	
9	916	16	381611	4640785	11	0.28	2.66	606.7482	13.91314	0.4542833	
9	917	17	381610	4640768	8	0.363	1.111	606.9952	13.90161	0.2724082	
9	918	18	381586	4640687	7	0.373	1.981	606.5383	13.90634	0.3932447	
9	920	20	381568	4640660	12	0.536	3.392	606.4348	13.9059	0.5006892	

Likelihood History
Iteration	Temperature	Likelihood
0	3	-321.4552	
1	3	-120.3214	
1.5	3	-120.2723	
1.75	3	-119.9496	
2.25	3	-119.0671	
2.5	3	-118.3854	
2.75	3	-118.3644	
3	3	-103.5389	
4	3	-52.80358	
4.5	3	-52.7985	
7.25	3	-46.25206	
7.5	3	-45.82858	
13	3	55.37614	
13.25	3	56.31651	
13.75	3	58.17258	
15	3	69.33345	
20	3	83.64726	
20.75	3	91.14095	
23.75	3	91.39093	
24.25	3	91.48376	
28.75	3	95.25618	
29.75	3	95.80823	
39.25	3	98.81436	
41.5	3	99.08704	
50	3	99.79749	
50.25	3	100.1301	
52.25	3	100.1823	
52.5	3	102.3852	
58.25	3	102.4259	
58.5	3	102.5566	
60.75	3	102.7863	
63	3	103.2185	
63.5	3	103.6231	
64.75	3	103.9873	
71.5	3	103.9933	
72.75	3	104.1678	
74.25	3	104.2929	
333	3	104.3666	
600.75	3	104.384	
1000	3	104.384	
2000	2.85	104.384	
2198.75	2.85	104.3933	
3000	2.85	104.3933	
4000	2.7075	104.3933	
5000	2.7075	104.3933	
6000	2.572125	104.3933	
7000	2.572125	104.3933	
7937	2.572125	104.4074	
8000	2.443519	104.4074	
9000	2.443519	104.4074	
10000	2.321343	104.4074	
11000	2.321343	104.4074	
12000	2.205276	104.4074	
13000	2.205276	104.4074	
14000	2.095012	104.4074	
15000	2.095012	104.4074	
16000	1.990261	104.4074	
17000	1.990261	104.4074	
17516.75	1.990261	104.411	
18000	1.890748	104.411	
19000	1.890748	104.411	
20000	1.796211	104.411	
21000	1.796211	104.411	
22000	1.7064	104.411	
23000	1.7064	104.411	
24000	1.62108	104.411	
25000	1.62108	104.411	
